All,Vše
None,Nic
"Allowed Scopes","Povolené obory"
"You need more permissions to apply some of the rule updates.","K uložení úprav funkce potřebujete vyšší oprávnění."
"More permissions are needed to save this item.","K uložení této položky je potřeba více oprávnění."
"You need more permissions to access website ""%1"".","K přístupu k webu ""%1"" potřebujete vyšší oprávnění."
"Role Scopes","Rozsahy role"
Custom,Vlastní
"Read Details","Číst podrobnosti"
"Mark as Read","Označit jako přečtené"
"Are you sure?","Skutečně chcete provést tuto akci?"
Remove,Odstranit
"Messages Inbox","Složka příchozích zpráv"
"You have %1 new system messages","Máte %1 nové systémové zprávy"
"You have %1 new system message","Máte %1 novou systémovou zprávu"
"Incoming Message","Příchozí zpráva"
close,zavřít
Notifications,Oznámení
"The message has been marked as Read.","Zpráva byla označena jako přečtená."
"We couldn't mark the notification as Read because of an error.","Z důvodu chyby nelze zprávu označit jako přečtenou."
"Please select messages.","Zvolte zprávy prosím."
"A total of %1 record(s) have been marked as Read.","Jako přečtené bylo označeno celkem %1 zpráv(y)."
"Total of %1 record(s) have been removed.","Bylo odstraněno celkem %1 zpráv(y)."
"We couldn't remove the messages because of an error.","Z důvodu chyby nelze zprávy odstranit."
"The message has been removed.","Zpráva byla odstraněna."
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Všechny nedávné systémové upozornění máte vyřešené. Znovunačtením stránky odstraníte alert."
"1 Hour","1 hodina"
"2 Hours","2 hodiny"
"6 Hours","6 hodin"
"12 Hours","12 hodin"
"24 Hours","24 hodin"
critical,výstraha
major,varování
minor,upozornění
notice,oznámení
"Wrong message type","Chybný typ zprávy"
"Wrong notification ID specified.","Zvoleno chybné ID upozornění."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","V produkčním prostředí byste neměli používat {{base_url}} k deklaraci Základní URL adresy / Zabezpečené URL adresy. Je důrazně doporučeno v <a href=""%1"">nastavení</a> tento údaj změnit."
"One or more of the Cache Types are invalidated: %1. ","Mezipaměti jsou neplatné a vyžadují obnovu. Zkontrolujte: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Jděte do <a href=""%1"">Správy mezipaměti</a> a obnovte neplatné."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Jeden nebo více souborů médií nebylo možné synchronizovat. Více podrobností naleznete v protokolu."
"Synchronization of media storages has been completed.","Synchronizace úložiště médií byla dokončena."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Váš webový server je chybně nakonfigurován a umožňuje neoprávněný přístup k citlivým souborům. Obraťte se na svého poskytovatele hostingu."
"System Messages:","Systémové zprávy:"
"Critical System Messages","Výstrahy systému"
"Major System Messages","Varování systému"
"System messages","Systémové zprávy"
Close,Zavřít‏
"See All (","Zobrazit všechny ("
" unread)"," nepřečtené)"
"Show Toolbar","Zobrazit panel nástrojů"
"Show List","Zobrazit seznam"
"Use HTTPS to Get Feed","K příjmu zpráv použít HTTPS"
"Update Frequency","Četnost aktualizace"
"Last Update","Poslední aktualizace"
Severity,Závažnost
"Date Added","Ze dne"
Message,Zpráva
Actions,Akce
"Manage Shopping Cart","Upravit nákupní košík"
"Create Order","Vytvořit objednávku"
Back,Zpět
"Add Products","Přidat produkty"
"Update Items and Quantities","Upravit položky a množství"
"Are you sure you want to clear your cart?","Skutečně chcete smazat obsah košíku?"
"Clear my shopping cart","Vyprázdnit košík"
"Add selections to my cart","Přidat výběr do košíku"
Cancel,Zrušit
"Shopping Cart for %1 in %2","Nákupní košík pro %1 v %2"
"Select products you want to buy","Zvolte produkty, které chcete zakoupit"
Product,Produkt
Price,Cena
Quantity,Množství
"Products in the Comparison List (%1)","Porovnávané produkty (%1)"
"Last ordered items (%1)","Poslední objednané produkty (%1)"
Products,Produkty
SKU,Kód
"Recently Compared Products (%1)","Poslední porovnávané produkty (%1)"
"Recently Viewed Products (%1)","Poslední navštívené produkty (%1)"
"Add to Shopping Cart by SKU","Přidat do košíku podle SKU"
"Add to Shopping Cart","Přidat do košíku"
"Wish List (%1)","Oblíbené (%1)"
Apply,Použít
Configure,Nastavit
"Add to Order by SKU","Přidat k objednávce podle SKU"
"Add to Order","Přidat k objednávce"
"Add Products to Order","Přidat produkty k objednávce"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produkt(ů) vyžaduje vaší pozornost.</span>"
"Remove All","Odebrat vše"
"Only %1%2%3 left in stock","Posledních %1%2%3 skladem"
"You can buy up to %1 of these per purchase.","Můžete zakoupit až %1 na jeden nákup."
"You must buy at least %1 of these per purchase.","Musíte si zakoupit alespoň %1 na jeden nákup."
"Specify the product's options.","Zvolte parametry produktu."
"Alert me when this item is available.","Upozornit mě na naskladnění produktu."
"Shopping cart management is disabled for this customer.","Správa nákupního košíku je pro tohoto zákazníka vypnuta."
Customers,Zákazníci
"Shopping Cart","Nákupní košík"
"You do not have access to this.","Nemáte dostatečná oprávnění."
"An error has occurred. See error log for details.","Došlo k chybě. Více podrobností v protokolu chyb."
"You cannot configure a product.","Produkt nelze konfigurovat."
"You removed the items.","Položky byly odebrány."
"You removed the item.","Položka byla odebrána."
"You added %1 to your shopping cart.","%1 byl vložen do košíku."
"You cannot add a product.","Produkt nelze přidat."
"Order by SKU","Objednat podle SKU"
"The SKU was not found in the catalog.","Kód produktu nebyl nalezen."
"Availability: Out of stock.","Dostupnost: není skladem."
"We don't have as many of these as you want.","Požadované množství není dostupné."
"You can't add this many to your cart.","Požadované množství nelze do košíku přidat."
"You need to choose options for your item.","Je třeba zvolit jeden z parametrů produktu."
"We can't add the item to your cart.","Požadovanou položku nelze do košíku přidat."
"Please enter an actual number in the ""Qty"" field.","Do údaje ""Množství"" zadejte reálné číslo prosím."
"This product is assigned to another website.","Tento produkt je přiřazen k jinému webu."
"You can add only enabled products.","Lze přidat pouze zapnuté výrobky."
"You cannot upload this file.","Tento soubor nelze nahrát."
"The file is empty.","Soubor je prázdný."
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","SKU nebylo zadáno. Pro přidání produktů podle SKU <a href=""%1"">klikněte zde</a>."
"You have not entered a product SKU.","Nezadali jste SKU produktu."
"We can't add a product to cart by id ""%1"".","Požadovaný produkt podle ID ""%1"" nelze do košíku přidat."
"Something went wrong while reordering this product.","Při přeobjednání tohoto produktu nastala chyba."
"We can't find this wish list.","Tento seznam oblíbených nelze najít."
"You added %1 product to your shopping cart.","Do košíku byl vložen %1 produkt."
"You added %1 products to your shopping cart.","Do košíku bylo vloženo %1 produktů."
"%1 product requires your attention.","%1 produkt vyžaduje vaši pozornost."
"%1 products require your attention.","%1 produktů vyžaduje vaši pozornost."
"Yes, for Specified Customer Groups","Ano, pro zvolené skupiny zákazníků"
"Yes, for Everyone","Ano, pro každého"
No,Ne
"Please upload the file in .csv format.","Nahrajte soubor ve formátu CSV prosím."
"%1 item(s) need your attention.","%1 položek vyžaduje vaši pozornost."
"Apply Coupon Code","Použít kód kuponu"
"Remove Coupon Code","Odstranit kód kupónu"
"The coupon code ""%1"" is not valid.","Kód kupónu ""%1"" není platný."
"Shopping Cart Items","Položky v košíku"
Qty,Množství
Subtotal,Mezisoučet
Discount,Sleva
"Row Subtotal",Mezisoučet
Action,Akce
"No ordered items","Objednávka neobsahuje žádný produkt"
"Total %1 product(s)","Celkem %1 produktů"
Subtotal:,Mezisoučet:
"Please select",Vyberte
"Move to Wish List","Přesunout k oblíbeným"
"No item specified.","Nebyla určena žádná položka."
"Are you sure you want to remove this item?","Skutečně chcete tuto položku odebrat?"
"SKU number","SKU číslo"
"Upload File","Nahrát soubor"
"Your csv file must include ""sku"" and ""qty"" columns.","CSV soubor musí obsahovat sloupce ""sku"" a ""qty""."
Reset,Obnovit
"Only <span id=""%1_max_allowed"">%2</span> in stock","Posledních <span id=""%1_max_allowed"">%2</span> skladem"
Item,Položka
"See price before order confirmation.","Cenu uvidíte před odesláním objednávky."
"What's this?","Co to znamená?"
"Incl. Tax","s DPH"
"Excl. Tax","bez DPH"
"Edit item parameters","Upravit parametry"
Edit,Upravit
"Remove item","Odebrat položku"
"Products Requiring Attention","Produkty vyžadující pozornost"
"Add to Cart","Přidat do košíku"
Sku,SKU
File,Soubor
"File extensions allowed: .csv","Povolená přípona souborů: .csv"
"Add Row","Přidat řádek"
"Remove Row","Odstranit řádek"
"Add Products By SKU","Přidat produkty podle SKU"
"Shopping Cart Management","Správa nákupního košíku"
"View Shopping Cart","Zobrazit nákupní košík"
"View and modify Shopping Cart","Zobrazit a upravit nákupní košík"
"Order by SKU Settings","Nastavení objednávky podle SKU"
"Enable Order by SKU on My Account in Storefront","Zapnout objednání podle SKU v menu zákazníka v obchodě"
"Customer Groups","Skupiny zákazníků"
"Apply Coupon","Použít kupón"
"Order by SKU Description","Popis objednání podle SKU"
"Display a Link to Loading a Spreadsheet","Zobrazit odkaz pro načtení tabulky"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","Určuje, zda bude odkaz na stránku Můj účet &gt; Objednat podle SKU zobrazen ve widgetu"
"Link Text","Text odkazu"
